,순위,곡ID,곡명,가수,앨범,좋아요,가사
66,67,37297505,"묘해, 너와",태일 (TAEIL),"묘해, 너와","11,866",니 생각에 꽤 즐겁고 니 생각에 퍽 외로워 이상한 일이야 누굴 좋아한단 건 아무 일도 없는 저녁 집 앞을 걷다 밤 공기가 좋아서 뜬금없이 이렇게 니가 보고 싶어 참 묘한 일이야 사랑은 좋아서 그립고 그리워서 외로워져 이게 다 무슨 일일까 내 맘이 내 맘이 아닌걸 이제와 어떡해 모든 시간 모든 공간 내 주위엔 온통 너뿐인 것 같아 묘해 보고 싶어 신기하고 신기해서 보고 싶고 그러다 한 순간 미친 듯 불안하고 아무렇지도 않은데 햇살에 울컥 눈물이 날 것 같고 그러다가 니 전화 한 통에 다 낫고 참 묘한 일이야 사랑은 아파서 고맙고 고마워서 대견해져 이게 다 무슨 일일까 이 길이 그 길이 아닌걸 모르고 떠나온 여행처럼 낯설지만 그래서 한번 더 가보고 싶어져 너와 이렇게 너를 바라볼 때 뭐랄까 나는 행복한 채로 두려워져 참 묘한 일이야 사랑은 좋아서 그립고 그리워서 외로워져 이게 다 무슨 일일까 내 맘이 내 맘이 아닌걸 이제와 어떡해 모든 시간 모든 공간 내 주위엔 온통 너뿐인 것 같아 묘해 그래서 한번 더 가보고 싶어져 너와
67,68,37347913,Lucky Girl Syndrome,아일릿(ILLIT),SUPER REAL ME,"2,883",완벽한 날씨 딱 맞는 playlist 오늘의 selfie I say I’m lucky 세상은 chocolate 삼키자 so sweet 긍정의 치트키 Lucky girl syndrome oh I don’t need I don’t need I don’t need 어떤 golden ticket도 All I need all I need all I need 내 자신을 믿는 것 Finally finally finally 다 이뤄질 거야 매일 주문을 외워 Yeah luck Yeah I’m a lucky girl Yeah you’re a lucky girl Yeah we’re so lucky Luck luck luck luck Luck 주문을 걸어 luck 난 정말 lucky girl 넌 정말 lucky girl girl girl girl 찍어봐 breakfast 선택은 best choice 도착한 crossroad 신호는 green light 마주친 눈에 터진 웃음에 붙여봐 hashtag #lucky_girl_syndrome oh 설렘이 설렘이 설렘이 계속 차오르는 걸 I believe I believe I believe 이뤄져 믿는 대로 Finally finally finally 넌 이유를 아니? (why?) Together you and me Yeah luck Yeah I’m a lucky girl Yeah you’re a lucky girl Yeah we’re so lucky Luck luck luck luck Luck 주문을 걸어 luck 난 정말 lucky girl 넌 정말 lucky girl girl girl girl Oh my girl 주문을 걸어 say That’s my girl Lucky girl syndrome Oh my girl 주문을 걸어 say That’s my girl Lucky girl syndrome Yeah I’m a lucky girl
68,69,37125162,Really Like You,규빈,Really Like You,"8,554",오늘 기분은 맑음 구름 한 점도 없이 Fly high 저 멀리 다가오는 너에게 인사를 건네 Say hi 내 맘에 피어오른 보랏빛의 바이올렛 봄 향기처럼 불어와 내리는 꽃비처럼 Falling & Fall in love You know what to say 너에게 말할래 ‘사실은 너를‘ I like you 처음 본 순간 I wanna you Oh be my (I really like) For you 서툰 맘이라도 너에게 전할래 ‘사실은 너를’ I really like you Oh why 내 맘이 왜이래 I know why 네 맘은 어때 조심스럽게 Hey I just wanna fall in you 너로 가득 채워진 맘 한 가득 담아 네게 줄게 Woo 쏟아져 내리는 Starlight 너와 나 둘만 주고받을 수 있는 Signal 널 닮은 구름이 지나가는 저 하늘처럼 Falling & Fall in love You know what to say 나에게 말해줘 ‘사실은 너를’ I like you 처음 본 순간 I wanna you Oh be my (I really like) For you 서툰 맘이라도 너에게 전할래 ‘사실은 너를’ I really like you 해 진 하늘 위 Twinkle Star 유난히 반짝여 널 만나기전 떨리는 이 맘 안고 눈을 뜨면 너에게 말할거야 I really really like you With you 지금 이 순간 I’m only you 내 세상을 너에게 줄게 Are you ready for love? 같이 떠나 볼래? You 내 손을 잡아 수줍게 건네본 고백 너와 나 우리로 이뤄진 Love 말없이 잡아준 손에 나의 맘 가득히 채워진 Love I really like you
69,70,37136813,@은영이에게,#안녕,@은영이에게,"7,140",아시겠죠 마지막인걸 당신은 내 곁에 없네요 늘 주기만 했던 여린 그댈 위해서 나 이렇게 편지를 쓰네요 그댈 만난 그 순간부터 나에게는 행운이었죠 화장을 안 해도 쉽게 토라진 데도 내 눈에는 예쁘기만 했죠 그댄 아직 모르고 있나 봐요 영원히 그대 곁에 나 있을 거란 걸 잊으라는 그런 말은 하지 말아줘요 울지 말고 날 봐요 사랑해요 처음부터 그댈 사랑했어요 운명이 날 허락해 주질 않는다 해도 나 일생을 그댈 위해 다 드릴 거예요 나는 그대 것이죠 이미 나는 없어요 영원히 나와 함께했던 추억도 기억을 지워 드릴게요 다 잊을 수 있게 내가 간직할게요 나보다 더 아파할 테니까 떠나가도 이게 끝은 아니죠 언제나 내 가슴에 살아 있을 테니 알잖아요 그대는 내 전부라는걸 내 안에 커다란 빛이 돼줘요 사랑해요 처음부터 그댈 사랑했어요 운명이 날 허락해주질 않는다 해도 나 일생을 그대 위해 다 드릴 거예요 나는 그대 것이죠 이미 나는 없어요 영원히 다음 사랑 내 사랑은 오직 그대이죠 숨이 멎는다 해도 나를 잊지 말아요 사랑해요
70,71,37234662,TAP,태용 (TAEYONG),TAP - The 2nd Mini Album,"21,835","Yeah Uh huh uh huh yeah Uh huh uh huh yeah 이 하고 나는 치즈 해 Make a peace 너를 김새게 하지 바로 이건 Goodbye kiss 너를 기다릴 순 없으니 아낄게 기 TY 이렇게 귀엽긔 있긔 없긔 Yeah I’m saucin Yeah I’m saucin on you 달콤하고 K-spicy like a 비빔라면 You addicted I addicted I’m swaggin on you We like to dance while sweating on the floor You know Tap tap tap tap Tapping on me 멋쩍게 쳐다보고 지나가지 슬그머니 달라보이지 그렇겠지 그럼 난 물끄러미 아무것도 모른다는 표정을 짓지 Tap tap tap tap Tapping on me Tap tap tap tap Tapping on me Tap tap tap tap Tapping on me Tap tap tap yeah Keep tapping on me I’m typing to you 빨라진 Tempo 잘 알지 너의 Type 너만이 나의 Hype girl Check my new world Don’t need manuals 너가 원하는 대로 따라해봐 Yeah I’m saucin Yeah I’m saucin on you 달콤하고 K-spicy like a 비빔라면 You addicted I addicted I’m swaggin on you We like to dance while sweating on the floor You know Tap tap tap tap Tapping on me 멋쩍게 쳐다보고 지나가지 슬그머니 달라보이지 그렇겠지 그럼 난 물끄러미 아무것도 모른다는 표정을 짓지 Tap tap tap tap Tapping on me Tap tap tap tap Tapping on me Tap tap tap tap Tapping on me Tap tap tap 1, 2, 3, Go Saucy! Tapping tapping tapping on me Oh yeah, oh yeah Tap tap I’m driving too fast to stop So all these signs, never mind 아직 못 해 본 게 너무 많아 많은 나라들과 무대 그 위에는 내가 있을 테니 Just Tap tap tap Tapping on me yeah Tap tap tap Tapping on me yeah Tap tap tap Tapping on me yeah Tap tap tap Hoo let’s go Yeah I’m saucin Yeah I’m saucin on you 달콤하고 K-spicy like a 비빔라면 You addicted I addicted I’m swaggin on you We like to dance while sweating on the floor You know Tap tap tap tap Tapping on me Tap tap tap tap Tapping on me Tap tap tap tap Tapping on me Tap tap tap tap Saucy"
71,72,37347910,My World,아일릿(ILLIT),SUPER REAL ME,"2,884",Here’s my invitation 어때 들어 볼래 나의 우주 Yeah so cool 돋보기 들어 zoom in 당겨보면 마법이 펼쳐져 my world My world 살랑 춤을 추는 it’s sour jelly 수다쟁이 unicorn keyring 푸른 세계수와 summer moon이 It’s so real Cuz This is my world 조금 이상하니 This is my world Aaaah This is my world 이게 진짜 real me This is my world Aaaah 인생 네 컷 속 나만 못 나와 울다 Pepperoni topped pizza 맛에 웃어 매 순간 나의 과몰입 왜 이상하니 이게 나야 Let me show you my world This is my world 지금에 최선을 This is my world Aaaah This is my world 나머진 멋대로 This is my world Aaaah This is my world 조금 이상하니 This is my world Aaaah This is my world 이게 진짜 real me This is my world Aaaah
72,73,37121242,NO MORE (MA BOY),씨스타19,NO MORE (MA BOY),"7,308",No no no No no no Nobody’s perfect No no No no no Nobody’s perfect No no 확실하게 해두길 바래 난 Ia la la la 너를 겨눠 넌 불을 지르고 달아났잖아 진짜 이게 사랑이 맞니 나와 다르게 너무 태연해 속이 아주 타올라 짙게 Oh 의도가 무엇이든 상관없어 지금 내 상태를 봐 Oh 넌 대체 나를 위해 뭘 걸었어 한 칸씩 룰렛들이 돌아가지 No no no No no no Nobody’s perfect No no No no no Nobody’s perfect No no 확실하게 해두길 바래 난 너를 겨눠 No no no No no no Nobody’s perfect No no No no no Nobody’s perfect No no 웃음기를 빼줄까 한 번 난 Ia la la la 너를 겨눠 왜 잔인한 거야 늘 사랑이란 건 아름다운 장면은 거짓 난 흑백 TV속 그 안에 있나 봐 이런 것도 익숙해 조금씩 Oh 너에겐 작고 작은 불장난이 내겐 재만 남았어 Oh 너에겐 별거 아닌 호기심이 나에겐 전부인걸 알고있니 No no no No no no Nobody’s perfect No no No no no Nobody’s perfect No no 확실하게 해두길 바래 난 너를 겨눠 No no no No no no Nobody’s perfect No no No no no Nobody’s perfect No no 웃음기를 빼줄까 한 번 난 Ia la la la 너를 겨눠 이제야 떨려오니 이것도 괜찮네 뭐 Ia la la la la la 마지막을 장식해 Ma boy 난 Ia la la la 너를 겨눠
73,74,37329862,못 죽는 기사와 비단 요람,LUCY,못 죽는 기사와 비단 요람,"8,713",숨을 쉬지 않는 땅 끝에 걸려있는 저 달빛이 만든 길을 따라 도대체 얼마나 멀리 지나왔는지 이 길은 끝없이 영원하단 걸 뭐가 됐든 상관없다는 듯 쇠들은 철커덕거려 다음이란 의미 없는 소리 살 위를 춤추는 벌 뭘 바라더라도 내려놓으란 듯이 날아드는 해가 나와 내 안에 끌어안은 반 영원함을 말한 이 손을 내게선 떼어놔야만 하는데 그만 가 나의 모습처럼 난 흑연과 강철의 괴물이니까 외로운 괴로운 발걸음은 넌 없어도 되니까 없어야 하니까 이젠 가 날 두고 떠나가 너는 빛을 담는 요람이니까 지켜준 건 내가 아닌 너야 내 사랑아 내 파도여 너는 너의 밤을 가렴 무너지는 폐허 위 타올랐을 열기 속을 지금까지 남아 있는 잔향 따라 무심히 걸어가 날 움직이게 해준 맘 변화를 약속하는 눈을 내게선 떼어놔야만 하니까 그만 가 나의 모습처럼 난 흑연과 강철의 괴물이니까 외로운 괴로운 발걸음은 넌 없어도 되니까 없어야 하니까 이젠 가 날 두고 떠나가 너는 빛을 담는 요람이니까 지켜준 건 내가 아닌 너야 내 사랑아 내 파도여 널 괴롭힐 거니까 망가질 테니까 너 없는 세상을 걸어가야 하나 느려지다 멈춘 다리 쓰러져 넘어가는 하늘 처음 올려다본 별 길은 되게 느렸구나 가지 마 나와 네 약속처럼 나는 죽지 않는 너일 테니까 외로운 괴로운 그날들에 우리 둘이었으니까 그래 나와 너의 모습들은 다 똑같은 강철의 요람이구나 바라온 건 너와 나 우리야 내 사랑아 내 파도여 다음이란 의미 없는 소리 살 위를 춤추는 벌 뭘 바라더라도 내려놓으란 듯이 날아드는 해가 나와 내 안에 끌어안은 반 영원함을 말하는 널 놓지 않아 녹이 슬어 무너져가는 나라도 괜찮으면 같은 밤을 걸어가자 이 길의 끝 따라
74,75,37113522,who Am I,JD1,who Am I,"4,695","여긴 어디 나는 누구 눈을 떴을 때 믿기 힘든 이 Situation 막 어질어질해 난 아무것도 모른 듯해 (Yeah) 헷갈리는데 설명이 필요해 내게 “또 왜 그러는데 넌?” 사람들의 차가운 시선 하늘을 찌를 듯 도시는 날카로워 왜 사람들은 표정이 없는지 (Yeah) Can’t you see? 이게 맞는 건지 Is it Stupid Dream? I Don't Want To Believe 마치 내가 꿈꾼 건 Fantasy 제발 알려줘, 뭔데 도대체 숨이 막혀 버릴 듯해 여긴 어디 나는 누구 진 빠진 몸짓, Too Much한 느낌 정신 나가 버릴 듯해 여긴 어디 나는 누구 난 누군지 다 하지 말래 이유도 안 알려준 채 답답해 미칠 것 같은데 다들 그리 잘들 산대 (Yeah) Answer me! 왜 틀린 건지 Is it Stupid Dream? I Don't Want To Believe 마치 내가 꿈꾼 건 Fantasy 제발 알려줘, 뭔데 도대체 숨이 막혀 버릴 듯해 여긴 어디 나는 누구 진 빠진 몸짓, Too Much한 느낌 정신 나가 버릴 듯해 여긴 어디 나는 누구 여긴 어디 난 누군지 미로 같은 세상 속에 끝도 없이 찾아 헤매 Can Do It, Don’t Do That 이랬다저랬다 도대체 어쩌지 이 세상은 뭐가 이리 복잡한 건지 Oh Someone Teach Me 답이 있다면 제발 알려줘 고민해도 모르겠어 여긴 어디 나는 누구 지금 난 마치 떨어진 느낌 처음 보는 행성 속에 제발 알려줘, 뭔데 도대체 숨이 막혀 버릴 듯해 여긴 어디 나는 누구 진 빠진 몸짓, Too Much한 느낌 정신 나가 버릴 듯해 여긴 어디 나는 누구 (Oh tell me now) 여긴 어디 난 누군지 (Yeah) 미로 같은 세상 속에 계속 나를 찾아볼래 여긴 어디 난 누군지"
75,76,37322773,Dear.,더보이즈 (THE BOYZ),THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter,"5,952","Dear my only one 두 눈을 감은 채 Slow down 네 생각에 잠긴 깊은 밤 Yeah 하고팠던 말 너무 많지만 몇 글자 적어 봐 함께한 추억 In our last time 고마운 맘을 담아 Now I finally found you my love baby 환상 속에 머문 듯한 이 떨림에 시린 겨울도 It’s okay Cause I’ll be by you My Love 다시 돌아온 이 계절을 또 너와 함께 Woo yeah oh 조그만 몸짓에 얼어붙던 나 (Woo wah) 널 만난 그 순간 환히 비추는 빛 In our life time 조금씩 날 감싸 와 Now I finally found you my love baby 환상 속에 머문 듯한 이 떨림에 시린 겨울도 It’s okay Cause I’ll be by you My Love 가득 채워 준 그 온기를 Oh 네게 줄게 눈꽃이 온통 하얗게 이 길에 내리면 우린 그 위로 계속 걸어가면 돼 Oh 오랫동안 지켜 온 마음이 Baby (My baby) 영원히 시들지 않게 약속할게 무뎌져 간대도 It’s okay Cause I’ll be by you forever (Huh) 이 노랜 네게 전하는 Letter Sincerely, from yours"
76,77,37136360,Thinkin' About You,H1-KEY (하이키),H1-KEYnote #1 [Thinkin' About You],"11,277","Don’t you realize Blessing from the skies don’t come that easy why do you leave me I know I’m the one Why you say you’re done Less is enough I’ve got so much You won't see me cry But I’m not gonna lie I’ve got these feelings In my heart beating I might be a fool if I lose my cool (But) It’s so much more than a fast run Cause I've been thinkin’ about thinkin’ about you Yeah I've been thinkin’ about the past and us two And I don't want you living in, living in regret When I know that I’m the best that you’ll ever get Cause I've been thinkin’ about thinkin’ about you Yeah I've been thinkin’ we’re meant to last us two And I don't want you living in, living in regret When I am the one you will never forget Does she know you call when you have withdrawals I know you're obsessed I’m messing with your head She can not compete You should be with me Our love is more than a short crush Remember the day when you walked out the door Left me in pieces cause I wanted more It’s like my head and my heart are at war Nothing makes sense now So come make me whole I've been thinkin’ about thinkin’ about you Yeah I've been thinkin’ about the past and us two And I don't want you living in, living in regret When I know that I’m the best that you’ll ever get Cause I've been thinkin’ about thinkin’ about you Yeah I've been thinkin’ we’re meant to last us two And I don't want you living in, living in regret When I am the one you will never forget Ooh ooh ooh ooh Ooh ooh ooh Ooh ooh ooh ooh Ooh ooh ooh Ooh ooh ooh ooh Ooh ooh ooh Ooh ooh ooh ooh Ooh ooh ooh ooh Cause I've been thinkin’ about thinkin’ about you Yeah I've been thinkin’ about the past and us two And I don't want you living in, living in regret When I know that I’m the best that you’ll ever get Cause I've been thinkin’ about thinkin’ about you Yeah I've been thinkin’ we’re meant to last us two And I don't want you living in, living in regret When I am the one you will never forget"
77,78,37347912,Midnight Fiction,아일릿(ILLIT),SUPER REAL ME,"2,647",하루의 끝 침대 위로 쓰러져 잠들기는 좀 아쉬워 감았던 눈을 살포시 다시 뜸 시작돼 My teenage dream 어느새 내 몸이 새가 된 듯 (fly away) 날개도 없이 떠올라 점 보다 작아진 집 it’s like a dot 바람의 소린 my favorite song 달빛도 잠든 사이 시작된 나의 story 끝없이 펼쳐지는 Midnight fiction 설렘이 가득하지 자그만 내 침대 위 엉뚱하지만 어때 Midnight fiction Like a fantasy Like a fantasy 미스터리 아포칼립스 로맨틱 코미디 전환되는 장르 Until the morning 우리집 강아지를 닮은 구름과 산책 그 다음은 우주로 잠수 Deeper and deeper yeah 소원을 빌어 원해 my Genie 내 맘대로 쓰는 scenario 작가도 주인공도 딱 only one 모든 게 나만의 teenage dream 달빛도 잠든 사이 시작된 나의 story 끝없이 펼쳐지는 Midnight fiction 설렘이 가득하지 자그만 내 침대 위 엉뚱하지만 어때 Midnight fiction Like a fantasy Like a fantasy Like a dream 아득히 펼쳐진 장면 사이 아쉬워 ending credits Ending credits 내일 아침 시작되는 story It’d be sweet and tasty Yeah so tasty 달콤한 꿈속까지 이어질 나의 story 끝없이 반짝이는 Midnight fiction Ending이 없는 story 숨겨둬 새벽 사이 내일 또 찾아올게 Midnight fiction Like a fantasy 꿈의 끝까지 Play with me 날아 저 멀리 Like a fantasy
78,79,37118496,"yes, and?",Ariana Grande,eternal sunshine,"9,811","In case you haven't noticed Well, everybody's tired And healin' from somebody Or somethin' we don't see just right Boy, come on, put your lipstick on (No one can tell you nothin') Come on and walk this way through the fire (Don't care what's on their mind) And if you find yourself in a dark situation Just turn on your light and be like ""Yes, and?"" Say that shit with your chest, and Be your own fuckin' best friend Say that shit with your chest Keep moving like, ""What's next?"" ""Yes, and?"" Now, I'm so done with caring What you think, no, I won't hide Underneath your own projections Or change my most authentic life Boy, come on, put your lipstick on (No one can tell you nothin') Come on and walk this way through the fire (Don't care what's on their mind) And if you find yourself in a dark situation Just turn on your light and be like ""Yes, and?"" Say that shit with your chest, and Be your own fuckin' best friend Say that shit with your chest Keep moving like, ""What's next?"" ""Yes, and?"" (Yeah) My tongue is sacred, I speak upon what I like Protected, sexy, discerning with my time (My time) Your energy is yours and mine is mine (It's mine, it's mine) What's mine is mine My face is sitting, I don't need no disguise (I don't need no disguise) Don't comment on my body, do not reply Your business is yours and mine is mine Why do you care so much whose **** I ride? Why? ""Yes, and?"" (Yes, and?) Say that shit with your chest, and (Say that shit with your chest) Be your own fuckin' best friend (Oh, be your own, be your own) Say that shit with your chest (Say that shit with your chest) Keep moving like, ""What's next?"" ""Yes, and?"" ""Yes, and?"" Say that shit with your chest, and Be your own fuckin' best (Be your own) friend Say that shit with your chest Keep moving like, ""What's next?"" ""Yes, and?"" (Yeah)"
79,80,37093274,Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,"11,005","Yeah, boy チート、Gifted、荒技、Wanted 禁忌、禁じ手、明らか盲点 反則、異次元、この世の中のもんでは無いです 無理ゲー、それ聞いてないって… Ay ライバル口を揃えて Wow ライバル口を揃えて バグで、まぐれ、認めねーゼッテー マジで？コレおま…全部生身で？ It’s 生身 It’s 生身 yeah-yeah-yeah-yeah Bling-bang-bang, bling-bang-bang-born Bling-bang-bang, bling-bang-bang-born 実力を発揮し切る前に 相手の方がバックれてくらしい 上がり切るハードル Very happy あきらかにダントツでピカイチ 相変わらず脱皮してる毎日 (Bling-bling-bling) 誰の七光も要らないお前のiceよりicy (Icy) 俺、パッと見出来ない事ばっかりだけど Very happy あ、キレてる…呆れてる周り 恵まれてる家族友達 (Happy) もう反則的立ち位置、皆俺に任せとけば良い (Bang-bang-bang) 教科書に無い、問題集に無い 超badな呪(まじな)い Listen 鏡よ鏡答えちゃって Who’s the best? I’m the best! Oh yeah 生身のまま行けるとこまで To the next, to the 1番上 Now singin' Bling-bang-bang, bling-bang-bang, bling-bang-bang-born (Now singin') Bling-bang-bang, bling-bang-bang, bling-bang-bang-born (Now singin') Bling-bang-bang, bling-bang-bang, bling-bang-bang-born To the next, to the 1番上 Ey-day 俺のままで居るだけで超 Flex Ey-day 誰も口を挟めない (Don’t test) Ey-day 俺のままで居るだけで超 Flex Ey-day 誰も口を挟ませない (Don’t test) Yeah, yeah, yeah 学歴も無い前科も無い余裕で Bling-bling この存在自体が文化財な脳味噌 Bling-bling 高級車は買える免許は無い愛車 Green, green 全国各地揺らす逸品 このベロが Bling-bling バレットなら満タン 関西訛り生身のコトダマ 音楽、幸運、勝利の女神、今宵も三股 Bang bang 漫画みたいな輩とまんまで張りあえてしまってる漫画 圧倒的チカラこの頭と口から この身体 Tattoo は入って無い このツラに傷もついて無い 繰り返しやらかしてくダメージが イカつい年輪を刻む皺 Bling-bang-bang, bling-bang-bang, bling-bang-bang-born 俺のままで Blingして Bangして Bangする為に Bornして来たニッポン Ay 鏡よ鏡答えちゃって Who’s the best? I’m the best! Oh yeah 生身のまま行けるとこまで To the next, to the 1番上 Now singin' Bling-bang-bang, bling-bang-bang, bling-bang-bang-born (Now singin') Bling-bang-bang, bling-bang-bang, bling-bang-bang-born (Now singin') Bling-bang-bang, bling-bang-bang, bling-bang-bang-born To the next, to the 1番上 Ey-day 俺のままで居るだけで超 Flex Ey-day 誰も口を挟めない (Don’t test) Ey-day 俺のままで居るだけで超 Flex Ey-day 誰も口を挟ませない (Don’t test)"
80,81,37116939,I Love You (Prod. 김도훈),홍이삭,싱어게인3 - 무명가수전 Episode.12,"19,877","I love you, I love you 흔한 노랫말처럼 그렇게 서로 자주 했던 말 I love you, I love you 달콤했던 우린 이제는 결국 헤어졌지 I want you to stay stay 애원해도 I want you to stay stay 넌 떠나갔지 I love you I love you 처음 고백한 그때처럼 여전히 여전히 난 그대론데 I love you, I love you 모두 거짓말 나를 헤집고 더 아프게 하는 말 I hate you I hate you 네가 미워도 너를 떠나지 못해 여기 서있네 I want you to stay stay 애원해도 I want you to stay stay 넌 떠나갔지 I love you I love you 처음 고백한 그때처럼 여전히 여전히 난 그대론데 수많은 밤 수많은 우리 이야기 어떻게 널 잊을 수가 있겠니 I love you, I love you 마지막 붙잡을 때처럼 여전히 여전히 난 그대론데 Stay stay stay Stay stay stay I love you, I love you 혼자서 되새기는 이 말 여전히 여전히 난 그대론데 I love you, I love you 사랑한단 말 I love you, I love you 난 늘 똑같지"
81,82,37348530,"정말, 없니? (Emptiness)",보아 (BoA),"정말, 없니? (Emptiness)","1,152",정말 아무 감정 없니? 내가 그렇게나 쉽니? 우린 같은 마음인 듯 서로를 숨긴 채 매달리고 있어 과장된 표정 말투 어색한 미소 뒤 식어가고 있어 Every time 애쓰려 하지 않아도 돼 하고픈 말 알고 있어 Every night 서롤 회피하며 이별 역 초입에 우린 서있어 Woo oh 날 실험하는 Lie Lie Lie Lie Lie 못 이기는 척 Na Na Na Na Na Don’t give me that talk (Don’t want it baby) 우릴 조여와 사랑이라는 말 Lie Lie Lie Lie 미안해하지 마 Why Why Why Why Don’t give me that talk (Don’t want it baby) 부서지잖아 사랑에 무슨 잘못이 있겠어 그만해 들리지 않아 이젠 아무런 것도 이별에 무슨 죄를 더 넌 덮어씌우려고만 해 이미 끝나버렸는데 하염없이 기다린 시간들이 허무해 아무 의미 없는 약속 왜 했는데? Every day 비겁하게 늘어놓은 변명도 이젠 질렸어 다 완벽한 네 연기에 속은 나 재밌었겠지? Another night 지난 얘길 추억이라 못할 그저 그런 얘기들 Every night 한숨이 자욱이 가득한 대화 난 이제 지쳤어 Woo oh 날 실험하는 Lie Lie Lie Lie Lie 못 이기는 척 Na Na Na Na Na Don’t give me that talk (Don’t want it baby) 우릴 조여와 사랑이라는 말 Lie Lie Lie Lie 미안해하지 마 Why Why Why Why Don’t give me that talk (Don’t want it baby) 부서지잖아 사랑에 무슨 잘못이 있겠어 그만해 들리지 않아 이젠 아무런 것도 이별에 무슨 죄를 더 넌 덮어씌우려고만 해 이미 끝나버렸는데 정말 아무 감정 없니? 근데 왜 모든 걸 뒤집어 놔 내가 그렇게나 쉽니? 이젠 내가 널 버릴게
82,83,37087563,wherever u r (ft. V of BTS),"UMI, V",wherever u r (ft. V of BTS),"17,375","looking back on a sunday pictures from the past now sitting all in the basement we should have a conversation i’ll call u more but time moves so fast yeah darling u are more than just a blessing ahhh lovin me and teaching me some lessons i wish that i called u more just to make u feel better but ima be wherever u are ima be ima be ima be wherever u are here in ur heart wherever u are (wherever , wherever , wherever) ima be ima be ima be wherever u are wherever u are wherever u are when ur not here there’s some days i feel blue space in my bed i still leave for you ah overthink real fast now bout it ohhhh~ i gotta trust u i even on the days i ain’t right by ur side i’m keeping my promise that i will be wherever u are ima be ima be ima be wherever u are here in ur heart wherever u are (wherever , wherever , wherever) ima be ima be ima be wherever u are wherever u are wherever u are ohh"
83,84,37160308,새벽 통화,적재,새벽 통화,"13,265",이게 얼마 만이야 목소리 들으니 참 좋다 취한 듯한 너의 투정도 다 그대로구나 많이 그리웠는데 연락 좀 하지 그랬어 아무 의미 없는 얘기도 반가웠을 거야 다 그대로구나 다정한 말투도 넌 여전하구나 부드런 웃음도 별일 없이 지낸다니 참 다행이야 나도 잘 지내고 있어 별다른 일 없이 힘들 때도 가끔 있지만 그래도 괜찮아 한 번씩 생각이 나면 이렇게 전화해 줄래 다 그대로구나 다정한 말투도 넌 여전하구나 부드런 웃음도 별일 없이 지낸다니 참 다행이야 나도 잘 지내고 있어 별다른 일 없이 힘들 때도 가끔 있지만 그래도 괜찮아 한 번씩 생각이 나면 이렇게 전화해 줄래 한 번씩 생각이 나면 이렇게 전화해 줄래
84,85,37265918,사랑은 하니까 (Prod. 최유리),홍이삭,사랑은 하니까 (Prod. 최유리),"6,978",참 사랑하던 나의 길 내가 오르던 언덕 끝에 아쉽게 잃은 애착은 어쩌면 나에겐 추억이 아닐까 내가 사랑한 나의 눈에 기억만 하던 나의 웃음이 다 어둡게도 사라져 멀어지며 흩어져 어쩌면 아직도 지난 나의 기억을 사랑해 가면서 살아 추억은 나의 온기를 지켜주며 살아가게 해 다른 너의 시선은 나의 용기를 붙들며 도망가지도 않게 해 더 나의 발을 잡아두는 있잖아 난 사실 또 놓인 나의 길을 더 사랑해 보려고 했잖아 사실 기대도 하니까 하지만 난 이제 더 나은 나를 위해 다 괜찮아 사랑은 하니까 라고 말해주며 살아 참 사랑하던 나의 길 끝내 오르던 언덕 끝에 아직도 나는 어려워 쓸쓸해 더 비참해 어쩌면 나는 또 지난 나의 기억을 사랑해 가면서 살아 추억은 나의 온기를 지켜주며 살아가게 해 끝내 나의 시선은 나의 울음을 멈추며 도망가지도 않게 해 더 나의 발을 잡아두는 있잖아 난 사실 또 놓인 나의 길을 더 사랑해 보려고 했잖아 사실 기대도 하니까 하지만 난 이제 더 나은 나를 위해 다 괜찮아 사랑은 하니까 라고 말해주며 살아
